analysis_set	pattern	sv_type	boundary_class	analysis_type	same_direction	array_n_case	array_n_control	array_n_eff	array_beta	array_se	array_or	array_p_two	array_p_one	array_p_main	array_pooled_beta	array_pooled_se	array_pooled_or	mssng_n_case	mssng_n_control	mssng_n_eff	mssng_beta	mssng_se	mssng_or	mssng_ci_lo	mssng_ci_hi	mssng_p_two	mssng_p_one	ivw_beta_meta	ivw_se_meta	ivw_or_meta	ivw_ci_lo	ivw_ci_hi	ivw_z_meta	ivw_p_two	ivw_p_one_positive	ivw_p_main	ivw_q	ivw_q_p	ivw_i2	formal_meta_supported	secondary_meta_supported	exploratory_meta_signal	negative_control_nominal
PRIMARY_nonsig2_exploratory	A	DEL	hpc_exc_ca	PRIMARY_replication	True	838	3583	2716.63	0.344388	0.213984	1.41113	0.107526		0.107526	0.355034	0.211612	1.42623	5955	511	1882.47	0.4386	0.359292	1.55054	0.766736	3.13558	0.222187	0.222187	0.369056	0.183848	1.44637	1.00875	2.07383	2.0074	0.0447075	0.0223538	0.0447075	0.0507543	0.821756	0	False	False	True	False
PRIMARY_sig8_main	A	DEL	hpc_exc_dg	PRIMARY_replication	True	838	3583	2716.63	0.0530993	0.276718	1.05453	0.847828	0.423914	0.423914	0.0389025	0.266796	1.03967	5955	511	1882.47	0.280006	0.367393	1.32314	0.643982	2.71854	0.445975	0.222987	0.13523	0.221035	1.1448	0.742303	1.76554	0.611805	0.540666	0.270333	0.270333	0.243378	0.621777	0	False	False	False	False
PRIMARY_sig8_main	A	DEL	hpc_exc_ent	PRIMARY_replication	True	838	3583	2716.63	0.342289	0.237864	1.40817	0.150147	0.0750734	0.0750734	0.315251	0.221437	1.3706	5955	511	1882.47	0.734916	0.379245	2.08531	0.991632	4.3852	0.0526426	0.0263213	0.453137	0.201508	1.57324	1.05991	2.33519	2.24872	0.0245301	0.012265	0.012265	0.769218	0.380459	0	True	False	False	False
PRIMARY_sig8_main	A	DEL	hpc_inh_cge	PRIMARY_replication	True	838	3583	2716.63	0.582127	0.306313	1.78984	0.0573765	0.0286882	0.0286882	0.571845	0.3128	1.77153	5955	511	1882.47	1.31794	0.684105	3.73572	0.977355	14.279	0.0540397	0.0270198	0.705011	0.279568	2.02387	1.17006	3.5007	2.52179	0.0116759	0.00583795	0.00583795	0.963678	0.326262	0	True	False	False	False
PRIMARY_sig8_main	A	DEL	hpc_inh_mge	PRIMARY_replication	True	838	3583	2716.63	0.495893	0.322019	1.64196	0.123572	0.0617861	0.0617861	0.503122	0.321333	1.65388	5955	511	1882.47	0.535636	0.576968	1.70853	0.55144	5.29357	0.353219	0.17661	0.505333	0.281188	1.65754	0.955236	2.87618	1.79713	0.0723146	0.0361573	0.0361573	0.00361784	0.952037	0	True	False	False	False
PRIMARY_nonsig2_exploratory	A	DEL	pfc_astro	PRIMARY_replication	True	838	3583	2716.63	0.456142	0.243977	1.57797	0.0615375		0.0615375	0.452801	0.233	1.57271	5955	511	1882.47	0.719576	0.457811	2.05356	0.837165	5.03738	0.116003	0.116003	0.51441	0.215311	1.67265	1.0968	2.55083	2.38915	0.0168873	0.00844365	0.0168873	0.257872	0.611586	0	False	False	True	False
PRIMARY_sig8_main	A	DEL	pfc_exc_dl	PRIMARY_replication	True	838	3583	2716.63	0.618546	0.198145	1.85623	0.00179817	0.000899084	0.000899084	0.617595	0.198276	1.85446	5955	511	1882.47	0.946673	0.437457	2.57712	1.09336	6.07444	0.0304615	0.0152307	0.674405	0.180493	1.96286	1.37801	2.79595	3.73646	0.00018663	9.33151e-05	9.33151e-05	0.46684	0.494445	0	True	False	False	False
PRIMARY_sig8_main	A	DEL	pfc_exc_ul	PRIMARY_replication	True	838	3583	2716.63	0.36699	0.20625	1.44338	0.075183	0.0375915	0.0375915	0.369107	0.204272	1.44644	5955	511	1882.47	0.920396	0.468244	2.51028	1.00264	6.28493	0.0493413	0.0246707	0.456914	0.188751	1.57919	1.09086	2.28614	2.42073	0.0154894	0.00774471	0.00774471	1.16986	0.279431	14.5193	True	False	False	False
PRIMARY_sig8_main	A	DEL	pfc_inh_cge	PRIMARY_replication	True	838	3583	2716.63	0.290233	0.205865	1.33674	0.158592	0.079296	0.079296	0.293083	0.204466	1.34055	5955	511	1882.47	0.420663	0.29706	1.52297	0.850803	2.72618	0.15675	0.0783748	0.33255	0.169205	1.39452	1.00091	1.94292	1.96537	0.0493718	0.0246859	0.0246859	0.130235	0.718188	0	True	False	False	False
PRIMARY_sig8_main	A	DEL	pfc_inh_mge	PRIMARY_replication	True	838	3583	2716.63	0.500453	0.235383	1.64947	0.0334933	0.0167466	0.0167466	0.49869	0.235447	1.64656	5955	511	1882.47	1.47426	0.670859	4.36781	1.17278	16.2671	0.0279795	0.0139898	0.607196	0.222108	1.83528	1.18752	2.83638	2.73379	0.00626107	0.00313053	0.00313053	1.87612	0.170775	46.6986	True	False	False	False
NEGCTRL_STATIC_pattern_A	A	DEL	static_all	negative_control	True	838	3583	2716.63	0.0122795	0.00605944	1.01236	0.0427124		0.0427124	0.0117373	0.00603561	1.01181	5955	511	1882.47	0.0306265	0.0172056	1.0311	0.996908	1.06647	0.0750708		0.014304	0.00571536	1.01441	1.00311	1.02583	2.50273	0.0123241	0.00616206	0.0123241	1.01161	0.314518	1.14759	False	False	False	True
NEGCTRL_DUP_pattern_A	A	DUP	hpc_exc_ca	negative_control	False	838	3583	2716.63	-0.15768	0.21172	0.854123	0.456417		0.456417	-0.156152	0.212341	0.855429	5955	511	1882.47	0.149397	0.189849	1.16113	0.800349	1.68455	0.431327		0.0125336	0.141345	1.01261	0.767587	1.33585	0.0886738	0.929341	0.464671	0.929341	1.16605	0.280214	14.2405	False	False	False	False
NEGCTRL_DUP_pattern_A	A	DUP	hpc_exc_dg	negative_control	False	838	3583	2716.63	-0.205515	0.209173	0.814228	0.325848		0.325848	-0.244796	0.207283	0.782864	5955	511	1882.47	0.574799	0.29478	1.77677	0.997035	3.16631	0.0511849		0.055807	0.170589	1.05739	0.756882	1.47722	0.327143	0.74356	0.37178	0.74356	4.66052	0.0308639	78.5432	False	False	False	False
NEGCTRL_DUP_pattern_A	A	DUP	hpc_exc_ent	negative_control	False	838	3583	2716.63	-0.0638245	0.180253	0.93817	0.723277		0.723277	-0.0749457	0.180845	0.927794	5955	511	1882.47	0.559445	0.202781	1.7497	1.17585	2.6036	0.00580038		0.211279	0.134722	1.23526	0.948593	1.60855	1.56826	0.116819	0.0584097	0.116819	5.27725	0.0216059	81.0507	False	False	False	False
NEGCTRL_DUP_pattern_A	A	DUP	hpc_inh_cge	negative_control	True	838	3583	2716.63	0.0817933	0.218563	1.08523	0.708232		0.708232	0.0632442	0.219557	1.06529	5955	511	1882.47	0.282738	0.231557	1.32676	0.842726	2.0888	0.222075		0.17647	0.158943	1.193	0.873665	1.62905	1.11027	0.266882	0.133441	0.266882	0.398258	0.52799	0	False	False	False	False
NEGCTRL_DUP_pattern_A	A	DUP	hpc_inh_mge	negative_control	False	838	3583	2716.63	-0.115959	0.24525	0.890512	0.636344		0.636344	-0.126561	0.244816	0.88112	5955	511	1882.47	0.251899	0.246673	1.28647	0.79328	2.08627	0.307165		0.0669059	0.173919	1.06919	0.760351	1.50349	0.384696	0.700463	0.350231	0.700463	1.11839	0.290266	10.5856	False	False	False	False
NEGCTRL_DUP_pattern_A	A	DUP	pfc_astro	negative_control	True	838	3583	2716.63	0.206657	0.169188	1.22956	0.221911		0.221911	0.215874	0.169338	1.24095	5955	511	1882.47	0.414765	0.263183	1.51401	0.903865	2.53604	0.115037		0.267511	0.142318	1.30671	0.988634	1.72712	1.87968	0.060152	0.030076	0.060152	0.442425	0.505954	0	False	False	False	False
NEGCTRL_DUP_pattern_A	A	DUP	pfc_exc_dl	negative_control	False	838	3583	2716.63	-0.14617	0.161573	0.864011	0.36564		0.36564	-0.143118	0.161251	0.866652	5955	511	1882.47	0.666166	0.237391	1.94676	1.22248	3.10016	0.00501306		0.111005	0.13357	1.1174	0.860025	1.4518	0.831057	0.405941	0.202971	0.405941	8.00251	0.00467125	87.5039	False	False	False	False
NEGCTRL_DUP_pattern_A	A	DUP	pfc_exc_ul	negative_control	False	838	3583	2716.63	-0.159885	0.182362	0.852242	0.380626		0.380626	-0.146231	0.182073	0.863958	5955	511	1882.47	0.27792	0.208385	1.32038	0.877643	1.98646	0.182307		0.0299893	0.137233	1.03044	0.787425	1.34846	0.218528	0.827018	0.413509	0.827018	2.49964	0.113872	59.9943	False	False	False	False
NEGCTRL_DUP_pattern_A	A	DUP	pfc_inh_cge	negative_control	False	838	3583	2716.63	-0.00530626	0.159968	0.994708	0.973538		0.973538	-0.0174271	0.161653	0.982724	5955	511	1882.47	0.476721	0.230862	1.61078	1.02453	2.53251	0.0389266		0.151056	0.131487	1.16306	0.898833	1.50497	1.14883	0.250626	0.125313	0.250626	2.94535	0.0861248	66.0482	False	False	False	False
NEGCTRL_DUP_pattern_A	A	DUP	pfc_inh_mge	negative_control	False	838	3583	2716.63	-0.0584807	0.165068	0.943196	0.723128		0.723128	-0.0788298	0.167919	0.924197	5955	511	1882.47	0.115742	0.145025	1.12271	0.844925	1.49181	0.424824		0.0398448	0.108949	1.04065	0.840553	1.28838	0.365719	0.714575	0.357287	0.714575	0.628702	0.427832	0	False	False	False	False
SECONDARY_C_nonsig2_exploratory	C	DEL	hpc_exc_ca	SECONDARY_pattern_c	True	838	3583	2716.63	0.285875	0.292487	1.33093	0.328374		0.328374	0.326958	0.293382	1.38674	5955	511	1882.47	0.354175	0.639259	1.425	0.407069	4.98844	0.579552	0.579552	0.297698	0.265969	1.34676	0.799633	2.26823	1.11929	0.263015	0.131507	0.263015	0.00943926	0.922603	0	False	False	False	False
SECONDARY_C_sig8_main	C	DEL	hpc_exc_dg	SECONDARY_pattern_c	False	838	3583	2716.63	-0.18197	0.344269	0.833626	0.597105	0.701448	0.701448	-0.193007	0.338357	0.824477	5955	511	1882.47	0.365583	0.561875	1.44135	0.479174	4.33559	0.515274	0.257637	-0.032516	0.293549	0.968007	0.544508	1.72089	-0.110769	0.9118	0.5441	0.5441	0.690459	0.406008	0	False	False	False	False
SECONDARY_C_sig8_main	C	DEL	hpc_exc_ent	SECONDARY_pattern_c	True	838	3583	2716.63	0.154659	0.287012	1.16726	0.589983	0.294992	0.294992	0.134418	0.275873	1.14387	5955	511	1882.47	0.854757	0.509207	2.3508	0.866503	6.37767	0.0932295	0.0466147	0.323452	0.25003	1.38189	0.846532	2.25582	1.29365	0.195785	0.0978927	0.0978927	1.43454	0.231024	30.2914	False	False	False	False
SECONDARY_C_sig8_main	C	DEL	hpc_inh_cge	SECONDARY_pattern_c	True	838	3583	2716.63	0.388841	0.362579	1.47527	0.283527	0.141763	0.141763	0.384993	0.366409	1.4696	5955	511	1882.47	1.1195	0.695753	3.06331	0.783346	11.9792	0.107607	0.0538036	0.544892	0.321537	1.72442	0.918218	3.23848	1.69465	0.0901423	0.0450711	0.0450711	0.867314	0.3517	0	False	True	False	False
