analysis_set	pattern	sv_type	boundary_class	analysis_type	same_direction	array_n_case	array_n_control	array_n_eff	array_weight	array_beta	array_se	array_or	array_p_two	array_p_one	array_p_main	mssng_n_case	mssng_n_control	mssng_n_eff	mssng_weight	mssng_beta	mssng_se	mssng_or	mssng_p_two	mssng_p_one	stouffer_z_meta	stouffer_p_one_positive	stouffer_p_two	stouffer_p_sensitivity
PRIMARY_nonsig2_exploratory	A	DEL	hpc_exc_ca	PRIMARY_replication	True	838	3583	2716.63	52.1213	0.344388	0.213984	1.41113	0.107526		0.107526	5955	511	1882.47	43.3874	0.4386	0.359292	1.55054	0.222187	0.222187	2.01793	0.0217993	0.0435987	0.0435987
PRIMARY_sig8_main	A	DEL	hpc_exc_dg	PRIMARY_replication	True	838	3583	2716.63	52.1213	0.0530993	0.276718	1.05453	0.847828	0.423914	0.423914	5955	511	1882.47	43.3874	0.280006	0.367393	1.32314	0.445975	0.222987	0.635081	0.262688	0.525376	0.262688
PRIMARY_sig8_main	A	DEL	hpc_exc_ent	PRIMARY_replication	True	838	3583	2716.63	52.1213	0.342289	0.237864	1.40817	0.150147	0.0750734	0.0750734	5955	511	1882.47	43.3874	0.734916	0.379245	2.08531	0.0526426	0.0263213	2.34575	0.00949433	0.0189887	0.00949433
PRIMARY_sig8_main	A	DEL	hpc_inh_cge	PRIMARY_replication	True	838	3583	2716.63	52.1213	0.582127	0.306313	1.78984	0.0573765	0.0286882	0.0286882	5955	511	1882.47	43.3874	1.31794	0.684105	3.73572	0.0540397	0.0270198	2.69314	0.00353913	0.00707827	0.00353913
PRIMARY_sig8_main	A	DEL	hpc_inh_mge	PRIMARY_replication	True	838	3583	2716.63	52.1213	0.495893	0.322019	1.64196	0.123572	0.0617861	0.0617861	5955	511	1882.47	43.3874	0.535636	0.576968	1.70853	0.353219	0.17661	1.77749	0.0377437	0.0754875	0.0377437
PRIMARY_nonsig2_exploratory	A	DEL	pfc_astro	PRIMARY_replication	True	838	3583	2716.63	52.1213	0.456142	0.243977	1.57797	0.0615375		0.0615375	5955	511	1882.47	43.3874	0.719576	0.457811	2.05356	0.116003	0.116003	2.4425	0.00729304	0.0145861	0.0145861
PRIMARY_sig8_main	A	DEL	pfc_exc_dl	PRIMARY_replication	True	838	3583	2716.63	52.1213	0.618546	0.198145	1.85623	0.00179817	0.000899084	0.000899084	5955	511	1882.47	43.3874	0.946673	0.437457	2.57712	0.0304615	0.0152307	3.78371	7.72539e-05	0.000154508	7.72539e-05
PRIMARY_sig8_main	A	DEL	pfc_exc_ul	PRIMARY_replication	True	838	3583	2716.63	52.1213	0.36699	0.20625	1.44338	0.075183	0.0375915	0.0375915	5955	511	1882.47	43.3874	0.920396	0.468244	2.51028	0.0493413	0.0246707	2.6251	0.00433119	0.00866237	0.00433119
PRIMARY_sig8_main	A	DEL	pfc_inh_cge	PRIMARY_replication	True	838	3583	2716.63	52.1213	0.290233	0.205865	1.33674	0.158592	0.079296	0.079296	5955	511	1882.47	43.3874	0.420663	0.29706	1.52297	0.15675	0.0783748	1.98951	0.0233222	0.0466444	0.0233222
PRIMARY_sig8_main	A	DEL	pfc_inh_mge	PRIMARY_replication	True	838	3583	2716.63	52.1213	0.500453	0.235383	1.64947	0.0334933	0.0167466	0.0167466	5955	511	1882.47	43.3874	1.47426	0.670859	4.36781	0.0279795	0.0139898	3.04001	0.00118286	0.00236572	0.00118286
